itemA,itemB,count,support,confidence_A_to_B,confidence_B_to_A,lift
jumbo bag pink polkadot,jumbo bag red retrospot,819,0.04029718559338713,0.6763005780346821,0.39680232558139533,6.659463637585697
green regency teacup and saucer,roses regency teacup and saucer,731,0.03596732926589254,0.7497435897435898,0.721618953603159,15.04223960310831
jumbo bag red retrospot,jumbo storage bag suki,721,0.03547530013776816,0.3493217054263566,0.6120543293718166,6.026837301430621
jumbo bag red retrospot,jumbo shopper vintage red paisley,676,0.03326116906120842,0.32751937984496127,0.5797598627787307,5.708836943369632
alarm clock bakelike green,alarm clock bakelike red,633,0.03114544381027357,0.6546018614270941,0.6163583252190847,12.954360498193049
lunch bag  black skull.,lunch bag red retrospot,632,0.03109624089746113,0.5015873015873016,0.41012329656067487,6.615353872459648
green regency teacup and saucer,pink regency teacup and saucer,605,0.02976776225152529,0.6205128205128205,0.8220108695652174,17.134921962095873
lunch bag pink polkadot,lunch bag red retrospot,593,0.02917732729777603,0.5526561043802423,0.3848150551589877,7.288892060625598
jumbo  bag baroque black white,jumbo bag red retrospot,580,0.028537689431214326,0.6270270270270271,0.2810077519379845,6.17427194636497
jumbo bag red retrospot,lunch bag red retrospot,573,0.028193269041527257,0.27761627906976744,0.3718364698247891,3.66143624647239
pink regency teacup and saucer,roses regency teacup and saucer,570,0.028045660303089942,0.7744565217391305,0.562685093780849,15.538059573372248
lunch bag red retrospot,lunch bag suki design,554,0.027258413698090928,0.3595068137573005,0.5139146567717996,6.777937368092185
lunch bag red retrospot,lunch bag spaceboy design,553,0.02720921078527849,0.35885788449059053,0.48212728857890147,6.358698905306679
paper chain kit 50's christmas,paper chain kit vintage christmas,545,0.026815587482778982,0.4768153980752406,0.6720098643649816,11.949193773712933
lunch bag cars blue,lunch bag red retrospot,545,0.026815587482778982,0.48144876325088337,0.3536664503569111,6.34974994439387
gardeners kneeling pad cup of tea,gardeners kneeling pad keep calm,544,0.026766384569966543,0.7214854111405835,0.6011049723756906,16.20272872488533
jumbo bag apples,jumbo bag red retrospot,541,0.026618775831529228,0.5612033195020747,0.2621124031007752,5.526112531763647
wooden frame antique white,wooden picture frame white finish,536,0.026372761267467033,0.5594989561586639,0.4908424908424908,10.413238814073887
lunch bag  black skull.,lunch bag pink polkadot,535,0.026323558354654594,0.4246031746031746,0.49860205032618826,8.042530214944007
jumbo bag red retrospot,jumbo bag woodland animals,533,0.026225152529029717,0.25823643410852715,0.6241217798594848,6.145664270283027
jumbo bag red retrospot,jumbo bag strawberry,529,0.026028340877779964,0.2562984496124031,0.649079754601227,6.391422932420221
dolly girl lunch box,spaceboy lunch box,525,0.02583152922653021,0.6325301204819277,0.5938914027149321,14.542468516600339
charlotte bag pink polkadot,red retrospot charlotte bag,520,0.025585514662468018,0.7046070460704607,0.5058365758754864,13.930382883595374
jumbo shopper vintage red paisley,jumbo storage bag suki,520,0.025585514662468018,0.44596912521440824,0.44142614601018676,7.694292445549772
lunch bag red retrospot,lunch bag woodland,520,0.025585514662468018,0.3374432186891629,0.5179282868525896,6.830872486691779
